Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation
2020-01-01,58,49,53.5,2.9,11,0,0
2020-01-02,62,48,55,4.4,10,0,0
2020-01-03,60,47,53.5,2.9,11,0,0
2020-01-04,58,50,54,3.4,11,0,0
2020-01-05,58,45,51.5,0.9,13,0,0
2020-01-06,59,45,52,1.3,13,0,0
2020-01-07,56,46,51,0.3,14,0,0.01
2020-01-08,56,48,52,1.3,13,0,0
2020-01-09,54,48,51,0.2,14,0,0.25
2020-01-10,58,45,51.5,0.7,13,0,0
2020-01-11,55,47,51,0.1,14,0,0.15
2020-01-12,55,45,50,-0.9,15,0,0
2020-01-13,54,47,50.5,-0.5,14,0,0.02
2020-01-14,54,48,51,0,14,0,0.28
2020-01-15,53,44,48.5,-2.6,16,0,0
2020-01-16,50,43,46.5,-4.7,18,0,1.24
2020-01-17,54,43,48.5,-2.7,16,0,0
2020-01-18,54,46,50,-1.3,15,0,0
2020-01-19,55,46,50.5,-0.9,14,0,0
2020-01-20,57,47,52,0.5,13,0,0
2020-01-21,57,51,54,2.5,11,0,0.18
2020-01-22,61,52,56.5,4.9,8,0,0
2020-01-23,59,51,55,3.3,10,0,0
2020-01-24,63,49,56,4.2,9,0,0
2020-01-25,64,54,59,7.1,6,0,0
2020-01-26,58,52,55,3,10,0,0.23
2020-01-27,58,51,54.5,2.4,10,0,0
2020-01-28,58,51,54.5,2.3,10,0,0.09
2020-01-29,59,48,53.5,1.2,11,0,0
2020-01-30,63,51,57,4.6,8,0,0
2020-01-31,67,51,59,6.5,6,0,0
2020-02-01,63,52,57.5,4.9,7,0,0
2020-02-02,55,45,50,-2.7,15,0,0
2020-02-03,55,43,49,-3.8,16,0,0
2020-02-04,55,46,50.5,-2.4,14,0,0
2020-02-05,61,44,52.5,-0.5,12,0,0
2020-02-06,66,47,56.5,3.4,8,0,0
2020-02-07,63,46,54.5,1.3,10,0,0
2020-02-08,61,47,54,0.7,11,0,0
2020-02-09,61,49,55,1.6,10,0,0
2020-02-10,71,54,62.5,9,2,0,0
2020-02-11,74,56,65,11.4,0,0,0
2020-02-12,66,51,58.5,4.8,6,0,0
2020-02-13,53,49,51,-2.8,14,0,0
2020-02-14,60,49,54.5,0.6,10,0,0
2020-02-15,63,48,55.5,1.5,9,0,0
2020-02-16,59,49,54,-0.1,11,0,0
2020-02-17,69,48,58.5,4.4,6,0,0
2020-02-18,67,49,58,3.8,7,0,0
2020-02-19,63,47,55,0.7,10,0,0
2020-02-20,66,49,57.5,3.1,7,0,0
2020-02-21,71,51,61,6.6,4,0,0
2020-02-22,59,50,54.5,0,10,0,0
2020-02-23,58,49,53.5,-1,11,0,0
2020-02-24,66,48,57,2.4,8,0,0
2020-02-25,74,51,62.5,7.9,2,0,0
2020-02-26,73,53,63,8.3,2,0,0
2020-02-27,75,53,64,9.3,1,0,0
2020-02-28,66,50,58,3.2,7,0,0
2020-02-29,54,49,51.5,-3.3,13,0,0
2020-03-01,59,46,52.5,-2.3,12,0,0
2020-03-02,71,54,62.5,7.7,2,0,0
2020-03-03,73,52,62.5,7.6,2,0,0
2020-03-04,74,51,62.5,7.6,2,0,0
2020-03-05,62,51,56.5,1.6,8,0,0
2020-03-06,56,50,53,-2,12,0,0.01
2020-03-07,55,49,52,-3,13,0,0.17
2020-03-08,56,46,51,-4,14,0,0
2020-03-09,64,50,57,2,8,0,0
2020-03-10,71,52,61.5,6.5,3,0,0
2020-03-11,65,51,58,2.9,7,0,0
2020-03-12,62,47,54.5,-0.6,10,0,0
2020-03-13,61,50,55.5,0.4,9,0,0
2020-03-14,52,48,50,-5.1,15,0,0.59
2020-03-15,54,46,50,-5.1,15,0,0.3
2020-03-16,54,42,48,-7.1,17,0,0.07
2020-03-17,55,44,49.5,-5.7,15,0,0
2020-03-18,55,47,51,-4.2,14,0,0.03
2020-03-19,59,47,53,-2.2,12,0,0
2020-03-20,64,48,56,0.8,9,0,0
2020-03-21,63,49,56,0.8,9,0,0
2020-03-22,67,51,59,3.7,6,0,0
2020-03-23,55,50,52.5,-2.8,12,0,0
2020-03-24,57,50,53.5,-1.8,11,0,0.08
2020-03-25,55,45,50,-5.3,15,0,0
2020-03-26,57,43,50,-5.3,15,0,0
2020-03-27,56,47,51.5,-3.9,13,0,0
2020-03-28,57,51,54,-1.4,11,0,0.05
2020-03-29,58,51,54.5,-0.9,10,0,0.14
2020-03-30,60,52,56,0.5,9,0,0
2020-03-31,62,52,57,1.5,8,0,0
2020-04-01,57,48,52.5,-3,12,0,0
2020-04-02,60,46,53,-2.6,12,0,0
2020-04-03,58,47,52.5,-3.1,12,0,0
2020-04-04,55,48,51.5,-4.1,13,0,0.23
2020-04-05,53,49,51,-4.7,14,0,0.24
2020-04-06,51,45,48,-7.7,17,0,0.25
2020-04-07,61,45,53,-2.8,12,0,0
2020-04-08,58,50,54,-1.8,11,0,0
2020-04-09,61,52,56.5,0.7,8,0,0
2020-04-10,61,52,56.5,0.6,8,0,0
2020-04-11,56,51,53.5,-2.4,11,0,0
2020-04-12,62,51,56.5,0.5,8,0,0
2020-04-13,63,52,57.5,1.5,7,0,0
2020-04-14,76,49,62.5,6.4,2,0,0
2020-04-15,69,52,60.5,4.4,4,0,0
2020-04-16,57,51,54,-2.2,11,0,0
2020-04-17,59,52,55.5,-0.7,9,0,0
2020-04-18,62,54,58,1.7,7,0,0
2020-04-19,62,53,57.5,1.2,7,0,0
2020-04-20,59,52,55.5,-0.9,9,0,0
2020-04-21,63,51,57,0.6,8,0,0
2020-04-22,68,51,59.5,3.1,5,0,0
2020-04-23,69,53,61,4.5,4,0,0
2020-04-24,74,54,64,7.5,1,0,0
2020-04-25,71,53,62,5.4,3,0,0
2020-04-26,59,52,55.5,-1.1,9,0,0
2020-04-27,67,52,59.5,2.8,5,0,0
2020-04-28,71,54,62.5,5.8,2,0,0
2020-04-29,61,52,56.5,-0.3,8,0,0
2020-04-30,63,52,57.5,0.7,7,0,0
2020-05-01,65,50,57.5,0.6,7,0,0
2020-05-02,65,52,58.5,1.6,6,0,0
2020-05-03,62,50,56,-0.9,9,0,0
2020-05-04,68,49,58.5,1.5,6,0,0
2020-05-05,63,51,57,0,8,0,0
2020-05-06,71,52,61.5,4.4,3,0,0
2020-05-07,76,53,64.5,7.4,0,0,0
2020-05-08,76,51,63.5,6.3,1,0,0
2020-05-09,60,51,55.5,-1.7,9,0,0
2020-05-10,62,54,58,0.7,7,0,0
2020-05-11,68,53,60.5,3.2,4,0,0.03
2020-05-12,62,55,58.5,1.1,6,0,0.08
2020-05-13,64,52,58,0.6,7,0,0.02
2020-05-14,61,56,58.5,1,6,0,0.08
2020-05-15,65,54,59.5,2,5,0,0.01
2020-05-16,69,55,62,4.4,3,0,0
2020-05-17,69,57,63,5.3,2,0,0.24
2020-05-18,63,55,59,1.3,6,0,0.12
2020-05-19,63,54,58.5,0.7,6,0,0
2020-05-20,65,53,59,1.2,6,0,0
2020-05-21,67,53,60,2.1,5,0,0
2020-05-22,66,52,59,1,6,0,0
2020-05-23,70,52,61,3,4,0,0
2020-05-24,72,53,62.5,4.4,2,0,0
2020-05-25,81,55,68,9.8,0,3,0
2020-05-26,81,56,68.5,10.2,0,4,0
2020-05-27,72,54,63,4.7,2,0,0
2020-05-28,62,53,57.5,-0.9,7,0,0
2020-05-29,66,54,60,1.5,5,0,0
2020-05-30,69,57,63,4.5,2,0,0.01
2020-05-31,62,56,59,0.4,6,0,0
2020-06-01,66,55,60.5,1.8,4,0,0
2020-06-02,78,56,67,8.2,0,2,0
2020-06-03,82,58,70,11.2,0,5,0
2020-06-04,72,56,64,5.1,1,0,0
2020-06-05,62,54,58,-1,7,0,0
2020-06-06,63,54,58.5,-0.6,6,0,0
2020-06-07,61,53,57,-2.1,8,0,0
2020-06-08,70,53,61.5,2.3,3,0,0
2020-06-09,75,53,64,4.7,1,0,0
2020-06-10,72,55,63.5,4.1,1,0,0
2020-06-11,69,54,61.5,2.1,3,0,0
2020-06-12,63,55,59,-0.5,6,0,0
2020-06-13,65,55,60,0.4,5,0,0
2020-06-14,64,57,60.5,0.9,4,0,0
2020-06-15,66,57,61.5,1.8,3,0,0
2020-06-16,66,54,60,0.3,5,0,0
2020-06-17,77,56,66.5,6.7,0,2,0
